Date : 2020-11-26 20:29:07
Directory : /home/zl/gem5/src
Total : 5618 files,  884122 codes, 252225 comments, 152980 blanks, all 1289327 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |      4,275 |    573,303 |    229,927 |    129,852 |    933,082 |
| Log      |        800 |    278,378 |          0 |     14,722 |    293,100 |
| Python   |        539 |     32,373 |     22,271 |      8,383 |     63,027 |
| Markdown |          1 |         43 |          0 |         13 |         56 |
| C        |          1 |         21 |         27 |          7 |         55 |
| HTML     |          1 |          4 |          0 |          2 |          6 |
| Jupyter  |          1 |          0 |          0 |          1 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| systemc/tests/systemc/kernel/sc_event/test02                                                                                           |          2 |        215 |         35 |         19 |        269 |
| systemc/tests/systemc/kernel/sc_event/test02/golden                                                                                    |          1 |        140 |          0 |          1 |        141 |
| systemc/tests/systemc/kernel/sc_event/test03                                                                                           |          2 |         28 |         35 |         15 |         78 |
| systemc/tests/systemc/kernel/sc_event/test03/golden                                                                                    |          1 |          3 |          0 |          2 |          5 |
| systemc/tests/systemc/kernel/sc_event/test04                                                                                           |          2 |        161 |         49 |         34 |        244 |
| systemc/tests/systemc/kernel/sc_event/test04/golden                                                                                    |          1 |         42 |          0 |          2 |         44 |
| systemc/tests/systemc/kernel/sc_event/test05                                                                                           |          2 |        165 |         49 |         35 |        249 |
| systemc/tests/systemc/kernel/sc_event/test05/golden                                                                                    |          1 |         42 |          0 |          2 |         44 |
| systemc/tests/systemc/kernel/sc_event/test06                                                                                           |          2 |        162 |         49 |         34 |        245 |
| systemc/tests/systemc/kernel/sc_event/test06/golden                                                                                    |          1 |         42 |          0 |          2 |         44 |
